ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	POS
core-wordnet-0			0	able	ADJ
core-wordnet-1			1	abnormal	ADJ
core-wordnet-2			2	absent	ADJ
core-wordnet-3			3	absolute	ADJ
core-wordnet-4			4	abstract	ADJ
core-wordnet-5			5	abundant	ADJ
core-wordnet-6			6	academic	ADJ
core-wordnet-7			7	acceptable	ADJ
core-wordnet-8			8	accessible	ADJ
core-wordnet-9			9	accurate	ADJ
core-wordnet-10			10	active	ADJ
core-wordnet-11			11	acute	ADJ
core-wordnet-12			12	addicted	ADJ
core-wordnet-13			13	adequate	ADJ
core-wordnet-14			14	aesthetic	ADJ
core-wordnet-15			15	afraid	ADJ
core-wordnet-16			16	aggressive	ADJ
core-wordnet-17			17	agile	ADJ
core-wordnet-18			18	agricultural	ADJ
core-wordnet-19			19	alert	ADJ
core-wordnet-20			20	alive	ADJ
core-wordnet-21			21	aloof	ADJ
core-wordnet-22			22	amber	ADJ
core-wordnet-23			23	ambiguous	ADJ
core-wordnet-24			24	ambitious	ADJ
core-wordnet-25			25	ample	ADJ
core-wordnet-26			26	angry	ADJ
core-wordnet-27			27	annual	ADJ
core-wordnet-28			28	anonymous	ADJ
core-wordnet-29			29	applied	ADJ
core-wordnet-30			30	appropriate	ADJ
core-wordnet-31			31	arbitrary	ADJ
core-wordnet-32			32	archaeological	ADJ
core-wordnet-33			33	arrogant	ADJ
core-wordnet-34			34	artificial	ADJ
core-wordnet-35			35	artistic	ADJ
core-wordnet-36			36	ashamed	ADJ
core-wordnet-37			37	asleep	ADJ
core-wordnet-38			38	assertive	ADJ
core-wordnet-39			39	astonishing	ADJ
core-wordnet-40			40	attractive	ADJ
core-wordnet-41			41	automatic	ADJ
core-wordnet-42			42	available	ADJ
core-wordnet-43			43	awake	ADJ
core-wordnet-44			44	aware	ADJ
core-wordnet-45			45	awful	ADJ
core-wordnet-46			46	awkward	ADJ
core-wordnet-47			47	bad	ADJ
core-wordnet-48			48	bad	ADJ
core-wordnet-49			49	bad	ADJ
core-wordnet-50			50	balanced	ADJ
core-wordnet-51			51	bald	ADJ
core-wordnet-52			52	bare	ADJ
core-wordnet-53			53	basic	ADJ
core-wordnet-54			54	beautiful	ADJ
core-wordnet-55			55	bitter	ADJ
core-wordnet-56			56	bitter	ADJ
core-wordnet-57			57	black	ADJ
core-wordnet-58			58	black	ADJ
core-wordnet-59			59	bland	ADJ
core-wordnet-60			60	blank	ADJ
core-wordnet-61			61	blind	ADJ
core-wordnet-62			62	blonde	ADJ
core-wordnet-63			63	bloody	ADJ
core-wordnet-64			64	bold	ADJ
core-wordnet-65			65	brave	ADJ
core-wordnet-66			66	broken	ADJ
core-wordnet-67			67	brown	ADJ
core-wordnet-68			68	bureaucratic	ADJ
core-wordnet-69			69	busy	ADJ
core-wordnet-70			70	capable	ADJ
core-wordnet-71			71	careful	ADJ
core-wordnet-72			72	cautious	ADJ
core-wordnet-73			73	central	ADJ
core-wordnet-74			74	certain	ADJ
core-wordnet-75			75	characteristic	ADJ
core-wordnet-76			76	charismatic	ADJ
core-wordnet-77			77	cheap	ADJ
core-wordnet-78			78	cheerful	ADJ
core-wordnet-79			79	childish	ADJ
core-wordnet-80			80	chronic	ADJ
core-wordnet-81			81	civic	ADJ
core-wordnet-82			82	civilian	ADJ
core-wordnet-83			83	classical	ADJ
core-wordnet-84			84	clean	ADJ
core-wordnet-85			85	clear	ADJ
core-wordnet-86			86	clear	ADJ
core-wordnet-87			87	close	ADJ
core-wordnet-88			88	close	ADJ
core-wordnet-89			89	closed	ADJ
core-wordnet-90			90	cold	ADJ
core-wordnet-91			91	cold	ADJ
core-wordnet-92			92	color-blind	ADJ
core-wordnet-93			93	colorful	ADJ
core-wordnet-94			94	comfortable	ADJ
core-wordnet-95			95	commercial	ADJ
